event,family,target,direction,size,repetition,software_submit_ms,queue_wait_ms,queue_total_ms,visible_onset_ms,first_90_ms,settled_ms,visible_motion_ms,settled_minus_drain_ms,baseline_luma,final_luma,luma_amplitude,accepted,drained
0,mono-fast,black,darken,64,0,15.556977945379913,361.3904893863946,376.94746733177453,71.02538063190877,100.47046223189682,101.56328522134572,30.53790458943695,-275.3841821104288,63.13265306122449,28.93877551020408,-34.19387755102041,1,1
1,mono-fast,paper,lighten,64,0,0.8739987388253212,346.1425108835101,347.01650962233543,45.361989992670715,142.1946679474786,157.3375251609832,111.97553516831249,-189.67898446135223,29.081632653061224,61.224489795918366,32.14285714285714,1,1
2,mono-fast,black,darken,64,1,0.5489992909133434,346.5275102062151,347.0765094971284,32.7783371321857,71.43431867007166,77.07472273614258,44.29638560395688,-270.00178676098585,61.714285714285715,28.693877551020407,-33.02040816326531,1,1
3,mono-fast,paper,lighten,64,1,0.45399926602840424,346.5495102573186,347.003509523347,48.992181895300746,141.66958688292652,145.7429202273488,96.75073833204806,-201.26058929599822,28.755102040816325,62.10204081632653,33.3469387755102,1,1
4,mono-fast,black,darken,256,0,1.600997755303979,344.62751285173,346.22851060703397,35.12153110932559,72.61202530935407,82.48878584709018,47.3672547377646,-263.7397247599438,62.16326530612245,27.979591836734695,-34.183673469387756,1,1
5,mono-fast,paper,lighten,256,0,2.0949969766661525,343.9645138569176,346.0595108335838,41.01150424685329,139.5642796996981,151.11798339057714,110.10647914372385,-194.94152744300663,27.785714285714285,62.142857142857146,34.35714285714286,1,1
6,mono-fast,black,darken,256,1,1.6499976627528667,344.4595130858943,346.10951074864715,37.895125919021666,68.96878452971578,69.91218077018857,32.017054851166904,-276.1973299784586,61.69387755102041,27.714285714285715,-33.97959183673469,1,1
7,mono-fast,paper,lighten,256,1,2.1299970103427768,344.00951385032386,346.13951086066663,43.108042678795755,127.18037841841578,140.65537846181542,97.54733578301966,-205.48413239885122,28.102040816326532,61.55102040816327,33.44897959183673,1,1
8,mono-fast,black,darken,512,0,7.3079896392300725,347.6785086095333,354.9864982487634,42.20852500293404,76.48400776088238,89.2595803597942,47.05105535686016,-265.7269178889692,62.0,27.79591836734694,-34.20408163265306,1,1
9,mono-fast,paper,lighten,512,0,7.411989499814808,349.0705066360533,356.48249613586813,50.695526762865484,135.7662946684286,147.11379469372332,96.41826793085784,-209.3687014421448,27.693877551020407,61.91836734693877,34.224489795918366,1,1
10,mono-fast,black,darken,512,1,7.360989693552256,345.87051114067435,353.2315008342266,39.33097643312067,74.67267254833132,86.33501129224896,47.004034859128296,-266.89648954197764,61.95918367346938,27.683673469387756,-34.27551020408163,1,1
11,mono-fast,paper,lighten,512,1,7.437989464960992,347.3805090179667,354.8184984829277,49.79912342969328,148.09802768286318,161.8738897377625,112.07476630806923,-192.94460874516517,27.632653061224488,61.816326530612244,34.183673469387756,1,1
12,color3,black,darken,64,0,1.1929982574656606,604.4921457068995,605.6851439643651,31.138777383603156,62.09160585422069,73.79309844691306,42.65432106330991,-531.8920455174521,61.87755102040816,28.612244897959183,-33.265306122448976,1,1
13,color3,paper,lighten,64,0,1.2029983336105943,604.7681451309472,605.9711434645578,72.73588236421347,155.0961999455467,168.85966155678034,96.12377919256687,-437.1114819077775,28.714285714285715,61.795918367346935,33.08163265306122,1,1
14,color3,black,darken,64,1,0.7749989163130522,605.3111444925889,606.086143408902,31.916193081997335,59.5760332653299,61.62389169912785,29.707698617130518,-544.4622517097741,62.265306122448976,29.040816326530614,-33.22448979591836,1,1
15,color3,paper,lighten,64,1,1.0149985319003463,604.887144989334,605.9021435212344,75.21472999360412,133.89570533763617,139.31445532944053,64.09972533583641,-466.58768819179386,28.836734693877553,61.53061224489796,32.69387755102041,1,1
16,color3,black,darken,256,0,4.844993120059371,611.9691350031644,616.8141281232238,48.647703137248755,71.90983381588012,82.25701993796974,33.60931680072099,-534.557108185254,62.142857142857146,27.73469387755102,-34.40816326530613,1,1
17,color3,paper,lighten,256,0,5.576992174610496,611.1061362316832,616.6831284062937,85.1293362211436,138.30015587154776,147.22460031043738,62.09526408929378,-469.4585280958563,27.959183673469386,61.6530612244898,33.69387755102041,1,1
18,color3,black,darken,256,1,4.632993484847248,612.3031346360222,616.9361281208694,48.26477763708681,72.86677497904748,79.39418021123856,31.129402574151754,-537.5419479096308,62.204081632653065,27.775510204081634,-34.42857142857143,1,1
19,color3,paper,lighten,256,1,5.6859919568523765,1269.5212055696175,1275.2071975264698,378.7652659229934,521.8474008142948,527.7744277846068,149.0091618616134,-747.432769741863,27.79591836734694,59.816326530612244,32.0204081632653,1,1
20,color3,black,darken,512,0,14.98897885903716,610.5461370898411,625.5351159488782,51.05031991843134,81.77316968794912,97.23394305910915,46.18362314067781,-528.3011728897691,60.10204081632653,27.6734693877551,-32.42857142857143,1,1
21,color3,paper,lighten,512,0,22.049968829378486,1263.9082135865465,1285.958182415925,387.74468388874084,517.536953673698,518.4895398560911,130.7448559673503,-767.4686425598338,27.693877551020407,59.83673469387755,32.142857142857146,1,1
