frame,presentation_seconds,host_seconds,width,height,center
115,885164.9316333333,885164.953284833,1920,1080,42.6175
116,885164.9486333333,885164.967855958,1920,1080,42.6
117,885164.9656333333,885164.986814625,1920,1080,42.5275
118,885164.9816333334,885165.017579,1920,1080,42.635
119,885164.9986333334,885165.032820083,1920,1080,42.56
120,885165.0146333333,885165.04825825,1920,1080,42.575
121,885165.0316333333,885165.064623416,1920,1080,42.565
122,885165.0486333333,885165.080820708,1920,1080,42.56
123,885165.0646333334,885165.096441041,1920,1080,42.57
124,885165.0816333333,885165.116381791,1920,1080,42.4975
125,885165.0986333333,885165.127276666,1920,1080,42.5
126,885165.1156333333,885165.143839458,1920,1080,42.525
127,885165.1316333333,885165.159789791,1920,1080,42.4675
128,885165.1486333334,885165.177618416,1920,1080,42.4275
129,885165.1656333334,885165.19465275,1920,1080,42.4525
130,885165.1826333334,885165.21137925,1920,1080,42.44
131,885165.1986333333,885165.22518975,1920,1080,42.27
132,885165.2156333333,885165.24084425,1920,1080,42.34
133,885165.2326333333,885165.256344666,1920,1080,42.3425
134,885165.2486333334,885165.272070833,1920,1080,42.35
135,885165.2656333334,885165.287968166,1920,1080,42.3625
136,885165.2816333333,885165.308234291,1920,1080,42.3525
137,885165.2986333333,885165.321005416,1920,1080,42.4175
138,885165.3156333333,885165.33539075,1920,1080,42.4425
139,885165.3316333333,885165.353338416,1920,1080,42.47
140,885165.3486333333,885165.369457791,1920,1080,42.42
141,885165.3656333333,885165.385057166,1920,1080,42.4675
142,885165.3816333333,885165.416785125,1920,1080,42.5025
143,885165.3986333334,885165.439039041,1920,1080,42.4325
144,885165.4146333333,885165.446057583,1920,1080,42.405
145,885165.4316333333,885165.463589916,1920,1080,42.44
146,885165.4486333333,885165.480882625,1920,1080,42.4225
147,885165.4646333334,885165.495898625,1920,1080,42.445
148,885165.4816333334,885165.51684375,1920,1080,42.415
149,885165.4986333334,885165.527497208,1920,1080,42.385
150,885165.5156333334,885165.54249775,1920,1080,46.8975
151,885165.5316333333,885165.559362791,1920,1080,76.44
152,885165.5486333333,885165.57716725,1920,1080,86.98
153,885165.5656333333,885165.593833666,1920,1080,92.3425
154,885165.5816333333,885165.608322625,1920,1080,95.1125
155,885165.5986333333,885165.622572958,1920,1080,96.635
156,885165.6146333333,885165.639287041,1920,1080,97.79
157,885165.6316333333,885165.655268916,1920,1080,98.5075
158,885165.6486333334,885165.673032083,1920,1080,99.22
159,885165.6646333333,885165.689048291,1920,1080,99.7675
160,885165.6816333333,885165.707686791,1920,1080,100.2275
161,885165.6986333333,885165.720684,1920,1080,100.4125
162,885165.7146333334,885165.736581833,1920,1080,100.5325
163,885165.7316333334,885165.751965208,1920,1080,100.7925
164,885165.7476333333,885165.771123375,1920,1080,101.11
165,885165.7646333333,885165.784219041,1920,1080,101.545
166,885165.7816333333,885165.802800083,1920,1080,101.51
167,885165.7986333333,885165.833331375,1920,1080,101.59
168,885165.8156333333,885165.851878708,1920,1080,101.635
169,885165.8326333333,885165.864731958,1920,1080,101.71
170,885165.8486333333,885165.880912541,1920,1080,101.54
171,885165.8656333333,885165.897367208,1920,1080,101.4575
172,885165.8816333333,885165.916888541,1920,1080,101.385
173,885165.8986333334,885165.927589208,1920,1080,101.4025
174,885165.9176333334,885165.946995541,1920,1080,101.3325
175,885165.9336333333,885165.961364625,1920,1080,101.24
176,885165.9506333333,885165.9797115,1920,1080,101.2875
177,885165.9676333333,885165.993511541,1920,1080,101.2675
178,885165.9846333333,885166.009734458,1920,1080,101.3325
179,885166.0006333333,885166.02423275,1920,1080,101.4075
180,885166.0176333333,885166.040609916,1920,1080,101.3475
181,885166.0346333333,885166.057214291,1920,1080,101.38
182,885166.0516333333,885166.07301525,1920,1080,101.245
183,885166.0676333334,885166.0886335,1920,1080,101.2625
184,885166.0846333334,885166.106706333,1920,1080,101.2525
185,885166.1016333334,885166.119551958,1920,1080,101.115
186,885166.1176333333,885166.151440208,1920,1080,101.2175
187,885166.1346333333,885166.169509208,1920,1080,101.225
188,885166.1506333334,885166.183824291,1920,1080,101.2125
189,885166.1676333334,885166.201778208,1920,1080,101.215
190,885166.1846333334,885166.220708166,1920,1080,101.18
191,885166.2006333333,885166.232357791,1920,1080,101.21
192,885166.2176333333,885166.246324333,1920,1080,101.155
193,885166.2346333333,885166.26281925,1920,1080,101.175
194,885166.2506333333,885166.2797065,1920,1080,101.1225
195,885166.2676333333,885166.295782458,1920,1080,101.125
196,885166.2836333333,885166.311989416,1920,1080,101.2675
197,885166.3006333334,885166.331851333,1920,1080,101.2425
198,885166.3176333334,885166.343296583,1920,1080,101.16
199,885166.3336333333,885166.359580833,1920,1080,101.29
200,885166.3506333333,885166.37954025,1920,1080,101.1425
201,885166.3676333333,885166.393609166,1920,1080,80.3925
202,885166.3836333334,885166.408107,1920,1080,70.6175
203,885166.4006333334,885166.424083,1920,1080,70.115
204,885166.4166333333,885166.441080416,1920,1080,69.895
205,885166.4336333333,885166.456521708,1920,1080,70.34
206,885166.4506333333,885166.472632416,1920,1080,70.11
207,885166.4666333334,885166.489095041,1920,1080,70.7075
208,885166.4836333334,885166.506197625,1920,1080,70.305
209,885166.5006333333,885166.52336475,1920,1080,70.1225
210,885166.5166333333,885166.536945375,1920,1080,70.6025
211,885166.5336333333,885166.569562625,1920,1080,69.93
212,885166.5496333333,885166.583016791,1920,1080,69.92
213,885166.5666333333,885166.60029875,1920,1080,69.7525
214,885166.5836333333,885166.615179625,1920,1080,69.945
215,885166.5996333334,885166.631023,1920,1080,70.0875
216,885166.6166333334,885166.646386625,1920,1080,69.955
217,885166.6336333334,885166.662591,1920,1080,69.66
218,885166.6496333333,885166.679365541,1920,1080,69.68
219,885166.6666333333,885166.697125958,1920,1080,69.455
220,885166.6826333334,885166.712853125,1920,1080,69.9175
221,885166.6996333334,885166.727455833,1920,1080,69.8425
222,885166.7166333334,885166.746277125,1920,1080,69.7175
223,885166.7326333333,885166.761311833,1920,1080,69.68
224,885166.7496333333,885166.778563625,1920,1080,69.65
225,885166.7666333333,885166.793877416,1920,1080,69.6425
226,885166.7826333334,885166.812510791,1920,1080,69.6175
227,885166.7996333333,885166.825348125,1920,1080,69.7775
228,885166.8156333333,885166.841461541,1920,1080,69.7225
229,885166.8326333333,885166.856393791,1920,1080,69.79
230,885166.8496333334,885166.872307791,1920,1080,69.8275
231,885166.8656333333,885166.888583,1920,1080,69.6375
232,885166.8826333333,885166.905692833,1920,1080,69.6625
233,885166.8996333333,885166.921669416,1920,1080,69.885
234,885166.9156333334,885166.939923083,1920,1080,69.625
235,885166.9326333334,885166.955634041,1920,1080,69.7925
236,885166.9486333333,885166.971434333,1920,1080,69.8575
237,885166.9656333333,885167.003153,1920,1080,69.8125
238,885166.9826333333,885167.016043875,1920,1080,69.7325
239,885166.9986333334,885167.032858541,1920,1080,69.5975
240,885167.0156333334,885167.048866416,1920,1080,69.69
241,885167.0326333334,885167.063819333,1920,1080,69.6475
242,885167.0486333333,885167.080997208,1920,1080,69.8525
243,885167.0656333333,885167.0965845,1920,1080,69.7375
244,885167.0816333333,885167.112237,1920,1080,69.705
245,885167.0986333333,885167.127456958,1920,1080,69.73
246,885167.1156333333,885167.143160875,1920,1080,70.005
247,885167.1316333333,885167.159957666,1920,1080,70.015
248,885167.1486333334,885167.181940666,1920,1080,69.8125
249,885167.1656333334,885167.196029833,1920,1080,69.8925
250,885167.1816,885167.208097958,1920,1080,69.7975
251,885167.1986,885167.222880166,1920,1080,69.815
252,885167.2146333334,885167.240697875,1920,1080,69.925
253,885167.2316333334,885167.260228,1920,1080,69.935
254,885167.2486333334,885167.271834416,1920,1080,70.0475
255,885167.2646333333,885167.28704625,1920,1080,70.0075
256,885167.2816333333,885167.302916083,1920,1080,70.29
257,885167.2986,885167.320339541,1920,1080,69.78
258,885167.3146333334,885167.336763,1920,1080,70.07
259,885167.3316333333,885167.352108041,1920,1080,69.9275
260,885167.3476,885167.372668666,1920,1080,69.9875
261,885167.3646,885167.387739541,1920,1080,70.04
262,885167.3816,885167.404688875,1920,1080,70.0325
263,885167.3976,885167.432756208,1920,1080,70.1825
264,885167.4156,885167.449125333,1920,1080,69.9775
265,885167.4326,885167.463370583,1920,1080,70.0375
266,885167.4486,885167.481060208,1920,1080,69.9575
267,885167.4656,885167.498522583,1920,1080,69.93
268,885167.4816333334,885167.51156575,1920,1080,71.94
269,885167.4986,885167.5294165,1920,1080,73.09
270,885167.5156,885167.543142208,1920,1080,90.8575
271,885167.5316333333,885167.559999125,1920,1080,95.34
272,885167.5486,885167.577842166,1920,1080,97.385
273,885167.5656333333,885167.597784,1920,1080,97.825
274,885167.5826,885167.613216666,1920,1080,98.405
275,885167.5986,885167.623104166,1920,1080,98.825
276,885167.6156333333,885167.640629625,1920,1080,99.3275
277,885167.6326,885167.655887166,1920,1080,99.7225
278,885167.6486,885167.67200275,1920,1080,99.9625
279,885167.6656,885167.68899325,1920,1080,100.325
280,885167.6816,885167.703305458,1920,1080,100.5875
281,885167.6986,885167.720955583,1920,1080,100.76
282,885167.7156,885167.738715916,1920,1080,100.9525
283,885167.7326,885167.754775375,1920,1080,100.985
284,885167.7496,885167.786484333,1920,1080,101.1075
285,885167.7666,885167.805164583,1920,1080,100.99
286,885167.7826,885167.819575791,1920,1080,100.85
287,885167.7996333333,885167.831924583,1920,1080,100.9275
288,885167.8156,885167.848681875,1920,1080,100.5225
289,885167.8326,885167.865562,1920,1080,100.475
290,885167.8496,885167.880634875,1920,1080,100.3775
291,885167.8656,885167.896482041,1920,1080,100.495
292,885167.8826333333,885167.913124791,1920,1080,100.54
293,885167.8996,885167.930923958,1920,1080,100.4575
294,885167.9156,885167.9438365,1920,1080,100.7225
295,885167.9326,885167.961180916,1920,1080,100.795
296,885167.9486,885167.980855958,1920,1080,100.8225
297,885167.9656,885167.992573416,1920,1080,100.9275
298,885167.9826,885168.016344083,1920,1080,100.9225
299,885167.9986,885168.025403291,1920,1080,101.08
300,885168.0156,885168.0422035,1920,1080,101.13
301,885168.0326,885168.056588958,1920,1080,101.1775
302,885168.0486,885168.071645083,1920,1080,101.2775
303,885168.0656,885168.08681075,1920,1080,101.245
304,885168.0816,885168.102811208,1920,1080,101.325
305,885168.0986,885168.118817333,1920,1080,101.32
306,885168.1156,885168.136713791,1920,1080,101.3475
307,885168.1316,885168.152111458,1920,1080,101.36
308,885168.1486,885168.169783041,1920,1080,101.375
309,885168.1656,885168.185861333,1920,1080,101.34
310,885168.1816,885168.218771333,1920,1080,101.27
311,885168.1986,885168.234275833,1920,1080,101.375
312,885168.2146,885168.255298875,1920,1080,101.4975
313,885168.2316,885168.261905291,1920,1080,101.52
314,885168.2486,885168.279708416,1920,1080,101.5375
315,885168.2646,885168.297205583,1920,1080,101.6425
316,885168.2816,885168.312431291,1920,1080,101.575
317,885168.2986,885168.329477458,1920,1080,101.605
318,885168.3156,885168.344896375,1920,1080,101.755
319,885168.3316,885168.361360125,1920,1080,101.6375
320,885168.3486,885168.377876708,1920,1080,101.7425
321,885168.3656,885168.392233708,1920,1080,101.75
322,885168.3826,885168.411235208,1920,1080,101.8175
323,885168.3996,885168.428198666,1920,1080,101.765
324,885168.4156333334,885168.445800083,1920,1080,101.6775
325,885168.4326,885168.454580875,1920,1080,101.7125
326,885168.4496,885168.47167425,1920,1080,101.7225
327,885168.4656,885168.489092041,1920,1080,101.67
328,885168.4826,885168.503462416,1920,1080,101.6275
329,885168.4996,885168.520804833,1920,1080,101.655
330,885168.5156,885168.536677458,1920,1080,101.6325
331,885168.5326,885168.553276916,1920,1080,101.64
332,885168.5486,885168.569337666,1920,1080,101.685
333,885168.5656,885168.600729291,1920,1080,101.7375
334,885168.5826,885168.6148515,1920,1080,83.7175
335,885168.5986,885168.632205625,1920,1080,49.16
336,885168.6156,885168.653652583,1920,1080,43.655
337,885168.6326,885168.663177416,1920,1080,43.535
338,885168.6486,885168.678383833,1920,1080,43.4825
339,885168.6656,885168.697026416,1920,1080,43.26
340,885168.6816,885168.711877416,1920,1080,43.4575
341,885168.6986,885168.729946125,1920,1080,43.5725
342,885168.7156,885168.7434805,1920,1080,43.56
343,885168.7316,885168.761038166,1920,1080,43.215
344,885168.7486,885168.779546083,1920,1080,43.2975
345,885168.7656,885168.793319416,1920,1080,43.2475
346,885168.7816,885168.812413958,1920,1080,43.11
347,885168.7986,885168.82475775,1920,1080,43.01
348,885168.8146,885168.84168925,1920,1080,42.9575
349,885168.8316,885168.861211708,1920,1080,42.8875
350,885168.8486,885168.87796325,1920,1080,42.8525
351,885168.8656,885168.888465708,1920,1080,42.885
352,885168.8816,885168.904775625,1920,1080,42.9725
353,885168.8986,885168.920632875,1920,1080,42.855
354,885168.9156,885168.936785791,1920,1080,42.8625
355,885168.9326,885168.953866208,1920,1080,42.9875
356,885168.9496,885168.984859916,1920,1080,42.9425
357,885168.9666,885169.002058791,1920,1080,42.94
358,885168.9826,885169.019333583,1920,1080,42.895
359,885168.9996,885169.0340255,1920,1080,42.9175
360,885169.0156,885169.051098125,1920,1080,42.955
361,885169.0326,885169.069161125,1920,1080,42.9675
362,885169.0496,885169.080315333,1920,1080,42.905
363,885169.0656,885169.094835375,1920,1080,42.91
364,885169.0826,885169.111324916,1920,1080,42.8875
365,885169.0996,885169.127662583,1920,1080,42.8125
366,885169.1156,885169.142911916,1920,1080,42.98
367,885169.1326,885169.159988041,1920,1080,43.085
368,885169.1486,885169.175366791,1920,1080,43.0575
369,885169.1656,885169.193114666,1920,1080,42.88
370,885169.1826,885169.213223166,1920,1080,42.855
371,885169.1986,885169.222672625,1920,1080,42.855
372,885169.2156,885169.238399166,1920,1080,42.8
373,885169.2326,885169.261100333,1920,1080,42.84
374,885169.2486,885169.27072025,1920,1080,42.8825
375,885169.2656,885169.290241375,1920,1080,42.795
376,885169.2816,885169.30261075,1920,1080,42.855
377,885169.2986,885169.319464708,1920,1080,42.73
378,885169.3156,885169.335291333,1920,1080,42.8675
379,885169.3316,885169.352742791,1920,1080,42.8125
380,885169.3486,885169.368479708,1920,1080,42.855
381,885169.3656,885169.385383666,1920,1080,42.9375
382,885169.3816,885169.416067416,1920,1080,42.9125
383,885169.3986,885169.433618791,1920,1080,42.935
384,885169.4146,885169.447642208,1920,1080,42.875
385,885169.4316,885169.462416541,1920,1080,42.7775
386,885169.4486,885169.485461625,1920,1080,42.77
387,885169.4656,885169.495351833,1920,1080,42.8175
388,885169.4816,885169.511063875,1920,1080,42.6925
389,885169.4986,885169.528311166,1920,1080,42.765
390,885169.5156,885169.544145125,1920,1080,42.8125
391,885169.5316,885169.56051725,1920,1080,42.765
392,885169.5486,885169.575920916,1920,1080,42.795
393,885169.5656,885169.592825875,1920,1080,42.75
394,885169.5816,885169.608147791,1920,1080,42.835
395,885169.5986,885169.622903625,1920,1080,42.7675
396,885169.6146,885169.639200041,1920,1080,42.7025
397,885169.6316,885169.655188625,1920,1080,42.815
398,885169.6486,885169.674838375,1920,1080,42.8825
399,885169.6646,885169.689899416,1920,1080,42.775
400,885169.6816,885169.704498666,1920,1080,42.7475
401,885169.6986,885169.720751875,1920,1080,42.735
402,885169.7146,885169.737137375,1920,1080,48.115
403,885169.7316,885169.753785166,1920,1080,49.3475
404,885169.7486,885169.772003791,1920,1080,77.78
405,885169.7656,885169.786807583,1920,1080,90.2875
406,885169.7816,885169.816800041,1920,1080,96.5225
407,885169.7986,885169.833589875,1920,1080,97.27
408,885169.8146,885169.85136625,1920,1080,98.7525
409,885169.8316,885169.86406025,1920,1080,99.21
410,885169.8486,885169.8848225,1920,1080,99.72
411,885169.8646,885169.897561083,1920,1080,100.2525
412,885169.8816,885169.912244583,1920,1080,100.56
413,885169.8986,885169.928338291,1920,1080,101.12
414,885169.9146,885169.942492083,1920,1080,101.28
415,885169.9316,885169.959119916,1920,1080,101.4475
416,885169.9476,885169.975527083,1920,1080,101.8775
417,885169.9646,885169.991864666,1920,1080,101.76
418,885169.9816,885170.009056958,1920,1080,101.475
419,885169.9986,885170.023281416,1920,1080,101.6925
420,885170.0146,885170.040466625,1920,1080,100.8225
421,885170.0316,885170.054924666,1920,1080,100.9425
422,885170.0486,885170.077102208,1920,1080,99.1125
423,885170.0646,885170.089001166,1920,1080,98.9425
424,885170.0816,885170.105181583,1920,1080,98.785
425,885170.0986,885170.120554916,1920,1080,98.725
426,885170.1146,885170.137464916,1920,1080,98.815
427,885170.1316,885170.152082875,1920,1080,99.2775
428,885170.1476,885170.168193166,1920,1080,99.5725
429,885170.1656,885170.200265208,1920,1080,99.8425
430,885170.1826,885170.220579916,1920,1080,100.1175
431,885170.1986,885170.230527041,1920,1080,100.2925
432,885170.2156,885170.250990291,1920,1080,100.555
433,885170.2326,885170.262454458,1920,1080,100.6525
434,885170.2486,885170.284533291,1920,1080,100.77
435,885170.2656,885170.297276166,1920,1080,100.895
436,885170.2826,885170.310439625,1920,1080,100.9225
437,885170.2996,885170.328604791,1920,1080,101.2225
438,885170.3156,885170.343270458,1920,1080,101.22
439,885170.3326,885170.360084,1920,1080,101.2025
440,885170.3486,885170.375662875,1920,1080,101.2325
441,885170.3656,885170.392725958,1920,1080,101.3325
442,885170.3826,885170.409102041,1920,1080,101.42
443,885170.3986,885170.423280541,1920,1080,101.305
444,885170.4156,885170.440875125,1920,1080,101.42
445,885170.4326,885170.460419083,1920,1080,101.6575
446,885170.4486,885170.476269541,1920,1080,101.6125
447,885170.4656,885170.491481875,1920,1080,101.59
448,885170.4816,885170.507283833,1920,1080,101.54
449,885170.4986,885170.520638416,1920,1080,101.6625
450,885170.5156,885170.537360291,1920,1080,101.6725
451,885170.5316,885170.551293041,1920,1080,101.6925
452,885170.5486,885170.569603041,1920,1080,101.735
453,885170.5656,885170.585816625,1920,1080,101.8825
454,885170.5816,885170.615307291,1920,1080,101.7925
455,885170.5986,885170.632064833,1920,1080,101.8275
456,885170.6146,885170.647367041,1920,1080,101.865
457,885170.6316,885170.662444,1920,1080,101.8975
458,885170.6486,885170.683356916,1920,1080,101.895
459,885170.6646,885170.695547625,1920,1080,101.85
460,885170.6816,885170.713551,1920,1080,101.945
461,885170.6986,885170.729719583,1920,1080,101.97
462,885170.7146,885170.743169208,1920,1080,102.07
463,885170.7316,885170.761220791,1920,1080,101.895
464,885170.7476,885170.776371833,1920,1080,101.965
465,885170.7656,885170.793625541,1920,1080,102.0125
466,885170.7826,885170.810387625,1920,1080,102.05
467,885170.7986,885170.823415458,1920,1080,102.09
468,885170.8156,885170.840743333,1920,1080,102.07
469,885170.8326,885170.856606125,1920,1080,102.0825
470,885170.8486,885170.879385291,1920,1080,95.4175
471,885170.8656,885170.89429925,1920,1080,52.1625
472,885170.8816,885170.904411,1920,1080,43.415
473,885170.8986,885170.921925208,1920,1080,42.7
474,885170.9156,885170.938196458,1920,1080,42.7175
475,885170.9316,885170.95379075,1920,1080,42.8025
476,885170.9486,885170.970865416,1920,1080,42.6675
477,885170.9656,885170.988305791,1920,1080,42.595
478,885170.9816,885171.017855583,1920,1080,42.6375
479,885170.9986,885171.0343,1920,1080,42.77
480,885171.0146,885171.05134275,1920,1080,42.4475
481,885171.0316,885171.065280208,1920,1080,42.4525
482,885171.0486,885171.084397833,1920,1080,42.46
483,885171.0646,885171.094854083,1920,1080,42.2825
484,885171.0816,885171.111955125,1920,1080,42.325
485,885171.0986,885171.1277885,1920,1080,42.33
486,885171.1156,885171.143875375,1920,1080,42.29
487,885171.1316,885171.159805166,1920,1080,42.2475
488,885171.1486,885171.176149416,1920,1080,42.2525
489,885171.1656,885171.192368583,1920,1080,42.2375
490,885171.1816,885171.207376333,1920,1080,42.1925
491,885171.1986,885171.222685791,1920,1080,42.2425
492,885171.2146,885171.239217666,1920,1080,42.3425
493,885171.2316,885171.257697,1920,1080,42.3725
494,885171.2496,885171.274978125,1920,1080,42.3575
495,885171.2656,885171.289356375,1920,1080,42.445
496,885171.2826,885171.304164416,1920,1080,42.28
497,885171.2996,885171.320077041,1920,1080,42.2625
498,885171.3176,885171.335577791,1920,1080,42.2375
499,885171.3336,885171.368560958,1920,1080,42.345
500,885171.3506,885171.38461225,1920,1080,42.2575
501,885171.3676,885171.401346416,1920,1080,42.44
502,885171.3846,885171.416875291,1920,1080,42.2875
503,885171.4006,885171.433115833,1920,1080,42.3425
504,885171.4176,885171.449839125,1920,1080,42.41
505,885171.4346,885171.4626505,1920,1080,42.3025
506,885171.4506,885171.483890083,1920,1080,42.31
507,885171.4676,885171.495121541,1920,1080,42.2525
508,885171.4836,885171.511296208,1920,1080,42.275
509,885171.5006,885171.527947625,1920,1080,42.225
510,885171.5176,885171.542983083,1920,1080,42.27
511,885171.5336,885171.559989083,1920,1080,42.2925
512,885171.5506,885171.579151541,1920,1080,42.1925
513,885171.5676,885171.592600583,1920,1080,42.205
514,885171.5836,885171.6090735,1920,1080,42.28
515,885171.6006,885171.623472625,1920,1080,42.225
516,885171.6166,885171.64138625,1920,1080,42.28
517,885171.6336,885171.655140875,1920,1080,42.29
518,885171.6506,885171.675102375,1920,1080,42.2875
519,885171.6666,885171.690885958,1920,1080,42.2875
520,885171.6836,885171.703393333,1920,1080,42.3075
521,885171.7006,885171.721395583,1920,1080,42.2775
522,885171.7166,885171.736426416,1920,1080,42.325
523,885171.7336,885171.768313333,1920,1080,42.3
524,885171.7496,885171.783768833,1920,1080,42.31
525,885171.7666,885171.800089625,1920,1080,42.3825
