sample,mac_send_s,device_receive_s,device_send_s,mac_receive_s,network_rtt_s,device_minus_mac_s
76,881911.59207025,86359.748252388,86359.748252763,881911.59795025,0.005879625066881999,-795551.8467576745
77,881911.599258791,86359.755911427,86359.755911802,881911.605581291,0.006322125060250983,-795551.8465084266
78,881911.606895625,86359.763234095,86359.763234595,881911.61232575,0.0054296249290928245,-795551.8463763425
79,881911.613644833,86359.769458025,86359.7694584,881911.619155666,0.005510457995114848,-795551.846942037
80,881911.620608583,86359.775898702,86359.775899077,881911.62525075,0.00464179202390369,-795551.847030777
81,881911.626581791,86359.782583002,86359.782583377,881911.631207,0.004624834022251889,-795551.846311206
82,881911.632519041,86359.787586321,86359.787586696,881911.637305916,0.0047865001106401905,-795551.84732597
83,881911.638620375,86359.794881989,86359.794882489,881911.644335583,0.005714708007872105,-795551.84659574
84,881911.645436958,86359.801227418,86359.801227668,881911.650385125,0.004947917012032121,-795551.8466834985
85,881911.651501666,86359.807240225,86359.807240475,881911.65625725,0.004755333939101547,-795551.846639108
86,881911.657597625,86359.813647903,86359.813648278,881911.663248291,0.005650290971971117,-795551.8467748675
87,881911.6646275,86359.820239579,86359.820239829,881911.669102708,0.004474957997445017,-795551.8466254
88,881911.670418666,86359.826252511,86359.826253011,881911.675198666,0.004779500086442567,-795551.846555905
89,881911.676516041,86359.831897448,86359.831897698,881911.681657291,0.005140999986906536,-795551.847189093
90,881911.683005625,86359.846150163,86359.846150413,881911.695312541,0.012306665943469852,-795551.843008795
91,881911.696630666,86359.852958586,86359.852958961,881911.702702208,0.006071166921174154,-795551.8467076635
92,881911.704231791,86359.858906644,86359.858907019,881911.708538708,0.004306542075937614,-795551.8474784179
93,881911.709865375,86359.864887327,86359.864887577,881911.71446475,0.004599125066306442,-795551.8472776106
94,881911.715779083,86359.87089951,86359.870899885,881911.720649166,0.004869708063779399,-795551.847314427
95,881911.721963583,86359.877888056,86359.877888306,881911.727805708,0.005841874924954027,-795551.8469964645
96,881911.729169916,86360.130800839,86360.130801214,881911.980981375,0.2518110839591827,-795551.724274619
97,881911.982394333,86360.138943372,86360.138943747,881911.989268083,0.006873375008581206,-795551.8468876485
98,881911.990669375,86360.146904033,86360.146904283,881911.996982458,0.00631283299298957,-795551.8469217585
99,881911.998361041,86360.154930193,86360.154930443,881912.007283083,0.008921792104956694,-795551.847891744
