event,family,target,direction,size,repetition,software_submit_ms,queue_wait_ms,queue_total_ms,visible_onset_ms,first_90_ms,settled_ms,visible_motion_ms,settled_minus_drain_ms,baseline_luma,final_luma,luma_amplitude,accepted,drained
0,marker,black,marker,768,0,21.941919345408678,356.0176914324984,377.9596107779071,68.60438466537744,105.3172437241301,115.15899316873401,46.554608503356576,-262.80061760917306,115.2625,50.2875,-64.975,1,1
1,marker,paper,marker,768,0,8.955967030487955,355.53169331979007,364.487660350278,66.92630145698786,135.72230015415698,147.87324354983866,80.9469420928508,-216.61441680043936,50.4775,113.62125,63.143750000000004,1,1
2,mono-fast,black,darken,64,0,0.4609982715919614,346.37072682380676,346.8317250953987,35.083479597233236,67.18797457870096,82.10208860691637,47.01860900968313,-264.72963648848236,113.46,79.755,-33.705,1,1
3,mono-fast,paper,lighten,64,0,0.5229980451986194,346.7117256950587,347.2347237402573,40.65162502229214,132.10241950582713,135.03720215521753,94.38557713292539,-212.1975215850398,79.93,113.3425,33.412499999999994,1,1
4,mono-fast,black,darken,64,1,0.7959970971569419,346.19372757151723,346.98972466867417,39.15581083856523,69.89943876396865,70.53131726570427,31.375506427139044,-276.4584074029699,113.42625000000001,79.895,-33.531250000000014,1,1
5,mono-fast,paper,lighten,64,1,0.39399845991283655,346.5607261750847,346.95472463499755,43.54232538025826,147.1947287209332,157.3104312410578,113.76810586079955,-189.64429339393973,79.605,113.78,34.175,1,1
6,mono-fast,black,darken,256,0,2.118992153555155,344.4227341096848,346.54172626324,31.304574222303927,70.92812587507069,76.49354753084481,45.18897330854088,-270.0481787323952,113.9125,51.4075,-62.504999999999995,1,1
7,mono-fast,paper,lighten,256,0,2.0489925518631935,344.3907340988517,346.4397266507149,46.486122882924974,109.50542078353465,112.10466222837567,65.6185393454507,-234.3350644223392,51.27,114.0075,62.73749999999999,1,1
8,mono-fast,black,darken,256,1,2.2239916725084186,344.1577350022271,346.38172667473555,34.85626704059541,72.21715326886624,81.7164434120059,46.86017637141049,-264.66528326272964,114.0425,51.255,-62.7875,1,1
9,mono-fast,paper,lighten,256,1,2.0639924332499504,344.1767350304872,346.24072746373713,38.94749958999455,109.2461192747578,116.44489120226353,77.49739161226898,-229.7958362614736,51.535,114.1775,62.6425,1,1
10,mono-fast,black,darken,768,0,15.879941522143781,348.48871908616275,364.3686606083065,50.822134828194976,88.48387224134058,97.60769235435873,46.78555752616376,-266.7609682539478,114.1425,50.9175,-63.225,1,1
11,mono-fast,paper,lighten,768,0,15.95394138712436,348.83071773219854,364.7846591193229,62.498548184521496,122.78517440427095,127.00689234770834,64.50834416318685,-237.77776677161455,51.1025,114.0975,62.995,1,1
12,mono-fast,black,darken,768,1,16.431939555332065,347.9227211792022,364.35466073453426,54.083744529634714,89.41651252098382,90.93609417323023,36.85234964359552,-273.41856656130403,113.955,51.1075,-62.8475,1,1
13,mono-fast,paper,lighten,768,1,16.020941082388163,348.51071902085096,364.5316601032391,57.40526632871479,120.84823683835566,135.2722942829132,77.86702795419842,-229.2593658203259,51.195,113.96,62.76499999999999,1,1
14,mono-quality,black,darken,64,0,0.8959965780377388,604.9927764106542,605.8887729886919,39.50649534817785,60.92215597163886,71.46413950249553,31.957644154317677,-534.4246334861964,114.10375,80.305,-33.79875,1,1
15,mono-quality,paper,lighten,64,0,1.018996350467205,604.8497768351808,605.868773185648,70.42728713713586,130.93997281976044,131.31220545619726,60.8849183190614,-474.55656772945076,80.4825,113.9925,33.510000000000005,1,1
16,mono-quality,black,darken,64,1,0.875996658578515,605.0567761994898,605.9327728580683,30.88799223769456,57.6982107013464,59.1892710654065,28.30127882771194,-546.7435017926618,114.36,80.56,-33.8,1,1
17,mono-quality,paper,lighten,64,1,0.9909963700920343,604.8727767774835,605.8637731475756,72.39071012008935,144.60397802758962,152.00333704706281,79.61262692697346,-453.86043610051274,80.5475,114.145,33.5975,1,1
18,mono-quality,black,darken,256,0,4.730982705950737,616.0407355055213,620.771718211472,48.41471975669265,73.6628380836919,79.24307161010802,30.82835185341537,-541.528646601364,114.445,51.445,-62.99999999999999,1,1
19,mono-quality,paper,lighten,256,0,5.524979787878692,1266.8263436062261,1272.3513233941048,332.1217376505956,485.58872344437987,491.55219458043575,159.43045692984015,-780.7991288136691,51.5825,110.9875,59.404999999999994,1,1
20,mono-quality,black,darken,256,1,5.57797949295491,611.4817524794489,617.0597319724038,43.832415831275284,76.0109833208844,84.21071257907897,40.37829674780369,-532.8490193933249,111.2325,51.1525,-60.08,1,1
21,mono-quality,paper,lighten,256,1,5.6909790728241205,1270.1653314288706,1275.8563105016947,366.95993004832417,490.37838843651116,500.04682247526944,133.08689242694527,-775.8094880264252,51.146249999999995,111.0675,59.92125,1,1
22,mono-quality,black,darken,768,0,33.29387761186808,613.8227438786998,647.1166214905679,73.22572369594127,106.65736440569162,117.8800396155566,44.65431591961533,-529.2365818750113,111.35875,50.4775,-60.88125,1,1
23,mono-quality,paper,lighten,768,0,44.06083805952221,1273.527318960987,1317.5881570205092,419.53716706484556,528.0393938301131,531.432279269211,111.89511220436543,-786.1558777512982,50.68,111.0925,60.4125,1,1
24,mono-quality,black,darken,768,1,32.81687945127487,614.243742194958,647.0606216462329,76.54380484018475,105.46542145311832,106.50798329152167,29.96417845133692,-540.5526383547112,111.3025,50.7075,-60.59499999999999,1,1
25,mono-quality,paper,lighten,768,1,47.826824127696455,1269.8773323791102,1317.7041565068066,421.07723059598356,533.4746746812016,537.1288892347366,116.051658638753,-780.57526727207,50.7525,111.1375,60.385000000000005,1,1
26,color,black,darken,64,0,15.839941799640656,1284.2312795110047,1300.0712213106453,724.7569711180404,790.1575962314382,802.1445714402944,77.387600322254,-497.92664987035096,111.3325,79.5,-31.832499999999996,1,1
