# Calibration grid spanning the projected tablet screen.
name,x,y,width,height
g_500_400,497,397,7,7
g_550_400,547,397,7,7
g_600_400,597,397,7,7
g_650_400,647,397,7,7
g_700_400,697,397,7,7
g_750_400,747,397,7,7
g_800_400,797,397,7,7
g_850_400,847,397,7,7
g_900_400,897,397,7,7
g_950_400,947,397,7,7
g_1000_400,997,397,7,7
g_1050_400,1047,397,7,7
g_1100_400,1097,397,7,7
g_1150_400,1147,397,7,7
g_1200_400,1197,397,7,7
g_1250_400,1247,397,7,7
g_1300_400,1297,397,7,7
g_1350_400,1347,397,7,7
g_1400_400,1397,397,7,7
g_1450_400,1447,397,7,7
g_1500_400,1497,397,7,7
g_1550_400,1547,397,7,7
g_1600_400,1597,397,7,7
g_1650_400,1647,397,7,7
g_1700_400,1697,397,7,7
g_1750_400,1747,397,7,7
g_1800_400,1797,397,7,7
g_1850_400,1847,397,7,7
g_400_450,397,447,7,7
g_450_450,447,447,7,7
g_500_450,497,447,7,7
g_550_450,547,447,7,7
g_600_450,597,447,7,7
g_650_450,647,447,7,7
g_700_450,697,447,7,7
g_750_450,747,447,7,7
g_800_450,797,447,7,7
g_850_450,847,447,7,7
g_900_450,897,447,7,7
g_950_450,947,447,7,7
g_1000_450,997,447,7,7
g_1050_450,1047,447,7,7
g_1100_450,1097,447,7,7
g_1150_450,1147,447,7,7
g_1200_450,1197,447,7,7
g_1250_450,1247,447,7,7
g_1300_450,1297,447,7,7
g_1350_450,1347,447,7,7
g_1400_450,1397,447,7,7
g_1450_450,1447,447,7,7
g_1500_450,1497,447,7,7
g_1550_450,1547,447,7,7
g_1600_450,1597,447,7,7
g_1650_450,1647,447,7,7
g_1700_450,1697,447,7,7
g_1750_450,1747,447,7,7
g_1800_450,1797,447,7,7
g_1850_450,1847,447,7,7
g_400_500,397,497,7,7
g_450_500,447,497,7,7
g_500_500,497,497,7,7
g_550_500,547,497,7,7
g_600_500,597,497,7,7
g_650_500,647,497,7,7
g_700_500,697,497,7,7
g_750_500,747,497,7,7
g_800_500,797,497,7,7
g_850_500,847,497,7,7
g_900_500,897,497,7,7
g_950_500,947,497,7,7
g_1000_500,997,497,7,7
g_1050_500,1047,497,7,7
g_1100_500,1097,497,7,7
g_1150_500,1147,497,7,7
g_1200_500,1197,497,7,7
g_1250_500,1247,497,7,7
g_1300_500,1297,497,7,7
g_1350_500,1347,497,7,7
g_1400_500,1397,497,7,7
g_1450_500,1447,497,7,7
g_1500_500,1497,497,7,7
g_1550_500,1547,497,7,7
g_1600_500,1597,497,7,7
g_1650_500,1647,497,7,7
g_1700_500,1697,497,7,7
g_1750_500,1747,497,7,7
g_1800_500,1797,497,7,7
g_1850_500,1847,497,7,7
g_400_550,397,547,7,7
g_450_550,447,547,7,7
g_500_550,497,547,7,7
